# Configuration
# N_FOLDS,4
# EPOCHS_PER_TRIAL,5
# EARLY_STOPPING_PATIENCE,3
# INITIAL_POINTS,10
# BO_ITERATIONS,5
# BO_CANDIDATES,100
# BATCH_SIZE,512
# NUM_FILTERS,32
# KERNEL_SIZE,5
# NUM_UNITS,32
# LEARNING_RATE_MIN,0.0001
# LEARNING_RATE_MAX,0.05
# MANUAL_SEEDS,"[1, 4, 9, 12, 13, 14, 16, 17, 19, 21, 31, 35, 37, 38, 42, 45, 48, 51, 52, 55, 58, 60, 64, 66, 69, 80, 123, 256, 2048, 3651]"
seed,optimizer,best_accuracy,accuracy_std,best_learning_rate,best_final_loss,total_trials
38,ASGD,0.7210000000000001,0.007031674369909651,0.047215561826790264,0.882354896929529,15
38,NAdam,0.8188333333333333,0.011179097558489323,0.00761397763623649,0.514136329293251,15
38,RAdam,0.8371666666666666,0.005742144392317403,0.0317183414488532,0.46398403247197473,15
38,Rprop,0.8513333333333334,0.0056371781750959105,0.025648390670043295,0.34638194036152625,15
42,SGD,0.8193333333333334,0.005477225575051653,0.04266517182782127,0.5120423278874822,15
42,Adam,0.8373333333333334,0.011254628677422773,0.002998372247193153,0.4572936784889963,15
42,RMSProp,0.796,0.00524933858267452,0.002998372247193153,0.6131375084320704,15
42,AdaGrad,0.7955,0.010059544942215079,0.00984262509112242,0.5911800182527965,15
42,Adadelta,0.7211666666666666,0.008948929172439205,0.043322189674169266,1.22443617383639,15
42,AdamW,0.8381666666666667,0.011327204225030807,0.002998372247193153,0.45735907720194924,15
42,Adamax,0.8133333333333335,0.010530379332620863,0.007884126564776512,0.5157426802648438,15
42,ASGD,0.7196666666666667,0.009758187445536297,0.025615985703160794,1.0507169481780794,15
42,NAdam,0.8251666666666666,0.011258330249197679,0.007884126564776512,0.5149874422285292,15
42,RAdam,0.8448333333333333,0.008490190417966694,0.04950368712020274,0.41732651409175664,15
42,Rprop,0.848,0.005055250296034377,0.036626497696389114,0.3483069919877582,15
45,SGD,0.81,0.010488088481701512,0.04616500509665702,0.536779517100917,15
45,Adam,0.8233333333333334,0.016519348924485183,0.0016206197418156367,0.4983334549599224,15
45,RMSProp,0.7976666666666667,0.012013880860626727,0.0011625585774638887,0.586395688354969,15
45,AdaGrad,0.7999999999999999,0.01253439711797546,0.022279027848992973,0.5984164377053579,15
45,Adadelta,0.7308333333333333,0.011750886491381528,0.04538194972145094,1.1173309319549136,15
45,AdamW,0.8240000000000001,0.012036980056845167,0.0020670481640246846,0.4739197683003214,15
45,Adamax,0.8113333333333334,0.0036817870057290884,0.013541864656241819,0.517107938726743,15
45,ASGD,0.7318333333333333,0.018952425819520974,0.04441196913088161,0.9286947945753733,15
45,NAdam,0.8093333333333335,0.014817407180595247,0.005885940503747428,0.5569128319621086,15
45,RAdam,0.8433333333333334,0.009899494936611644,0.042197659158649994,0.44585569865173763,15
45,Rprop,0.8535,0.011346805717910228,0.027628265408163113,0.32807543211513096,15
48,SGD,0.823,0.010440306508910514,0.04958859198835071,0.5338378979100121,15
48,Adam,0.8198333333333333,0.015665780116759814,0.011742391541794543,0.48342216759920115,15
48,RMSProp,0.7888333333333333,0.010406995510499478,0.00433812481757006,0.620322252313296,15
48,AdaGrad,0.7953333333333333,0.01435270009440733,0.02243088034747232,0.5795163810253143,15
48,Adadelta,0.7283333333333333,0.013169830843425628,0.04866954143824443,1.104239798254437,15
48,AdamW,0.8233333333333334,0.016977108770995782,0.01019030024260594,0.45682279351684785,15
48,Adamax,0.8178333333333333,0.014105751388076512,0.009242897008456928,0.5103782092531522,15
48,ASGD,0.7218333333333334,0.01153135821237993,0.02448383657593147,1.054550439119339,15
48,NAdam,0.8136666666666668,0.00955103252126294,0.005490037066791503,0.5224657406409582,15
48,RAdam,0.8408333333333333,0.012214517773716838,0.049530602418970913,0.423497065073914,15
48,Rprop,0.8483333333333334,0.0057638721552635075,0.0274566723268697,0.3750260662701395,15
51,SGD,0.8138333333333334,0.0075037027896602835,0.049212436861326515,0.5152590192026563,15
51,Adam,0.835,0.005705747589541216,0.014282228637140446,0.44594939715332454,15
51,RMSProp,0.7773333333333333,0.013291601358251234,0.005860222839444774,0.6516389499107997,15
51,AdaGrad,0.8021666666666667,0.012835497652993405,0.033818997633627265,0.6087321754958894,15
51,Adadelta,0.7104999999999999,0.009181805680559563,0.042302011313621574,1.244199256102244,15
51,AdamW,0.8336666666666667,0.0074907350180814,0.014282228637140446,0.4472278969155417,15
51,Adamax,0.8206666666666667,0.01332499739420445,0.014282228637140446,0.4971054237749842,15
51,ASGD,0.7195,0.013041600106326408,0.047300098048131664,0.8993712150388293,15
51,NAdam,0.8123333333333334,0.01153256259467076,0.007528076479459098,0.5239907900492351,15
51,RAdam,0.8398333333333333,0.004199867722784727,0.049212436861326515,0.4355352653397454,15
51,Rprop,0.851,0.0054670731556189,0.033818997633627265,0.3347232573562198,15
